Date,Open,High,Low,Close,Volume
21-Oct-16,56.21,56.58,55.17,55.60,3939814
20-Oct-16,55.29,56.81,55.11,56.57,9571480
19-Oct-16,53.99,55.49,53.75,55.44,7538336
18-Oct-16,52.54,55.01,52.44,53.68,11297321
17-Oct-16,53.45,54.53,52.93,53.03,6398188
14-Oct-16,54.16,54.57,52.98,53.20,7416268
13-Oct-16,52.05,54.03,51.34,53.69,8065385
12-Oct-16,53.76,54.07,52.33,52.88,5332808
11-Oct-16,54.81,54.94,53.18,53.52,5937679
10-Oct-16,53.06,54.50,53.06,54.20,3989939
7-Oct-16,53.79,54.00,52.67,52.82,2577634
6-Oct-16,53.60,54.06,52.86,53.98,2731353
5-Oct-16,53.82,54.14,53.48,53.82,2565598
4-Oct-16,54.21,55.25,53.54,53.73,5658226
3-Oct-16,52.24,53.40,52.00,53.25,4448134
30-Sep-16,51.39,52.93,51.38,52.47,5366308
29-Sep-16,50.58,51.68,50.41,51.14,5857451
28-Sep-16,50.67,51.89,50.42,50.66,3760935
27-Sep-16,49.50,50.79,49.40,50.41,3750553
26-Sep-16,50.53,50.89,49.28,49.45,4693626
23-Sep-16,50.89,51.32,50.49,50.95,3411605
22-Sep-16,50.68,52.04,50.37,51.04,5482165
21-Sep-16,50.47,50.75,49.30,50.23,4563131
20-Sep-16,51.09,51.66,50.25,50.31,3718383
19-Sep-16,51.14,51.93,50.91,50.96,3674009
16-Sep-16,51.31,51.70,50.90,51.00,10477739
15-Sep-16,50.99,51.96,50.37,51.71,4726469
14-Sep-16,51.40,51.89,50.72,51.00,4554661
13-Sep-16,52.70,53.26,51.48,51.64,4742416
12-Sep-16,51.69,53.44,50.67,53.25,5217132
9-Sep-16,53.99,54.11,52.42,52.45,4994146
8-Sep-16,53.23,54.40,53.23,54.36,5593848
7-Sep-16,51.62,54.53,51.62,53.68,7211559
6-Sep-16,50.97,51.24,50.77,51.14,3838364
2-Sep-16,50.68,51.53,50.45,51.09,3731009
1-Sep-16,50.54,51.48,50.12,50.89,4012808
31-Aug-16,50.79,51.00,49.35,50.41,5211719
30-Aug-16,49.28,51.52,48.76,50.99,12918822
29-Aug-16,47.06,47.32,46.81,46.95,2404469
26-Aug-16,47.62,47.86,46.68,46.87,3349061
25-Aug-16,47.46,47.76,47.30,47.53,2075818
24-Aug-16,47.29,47.94,47.27,47.60,2203199
23-Aug-16,47.27,47.96,47.27,47.49,2270808
22-Aug-16,46.95,47.09,46.56,46.95,2606951
19-Aug-16,47.25,47.59,46.94,47.09,3267145
18-Aug-16,48.16,48.22,47.18,47.60,4915948
17-Aug-16,47.91,48.21,47.68,48.18,3299437
16-Aug-16,47.82,48.38,47.60,47.99,3456206
15-Aug-16,47.16,48.48,47.00,48.01,3025448
12-Aug-16,47.20,47.34,46.53,47.10,2165945
11-Aug-16,47.00,47.57,46.80,47.27,4018950
10-Aug-16,47.72,47.80,46.67,47.12,3077047
9-Aug-16,49.00,49.47,47.78,47.81,3885959
8-Aug-16,48.39,49.32,47.90,48.49,4311296
5-Aug-16,46.25,48.48,46.24,48.41,5994981
4-Aug-16,44.94,45.96,44.81,45.90,3879129
3-Aug-16,44.28,45.20,44.15,44.90,4616014
2-Aug-16,46.90,46.90,44.24,44.40,7290724
1-Aug-16,46.77,47.38,46.42,47.36,2934749
29-Jul-16,47.49,48.11,46.89,46.89,3449756
28-Jul-16,47.17,47.63,46.81,47.40,2496682
27-Jul-16,47.63,47.75,47.16,47.44,3208696
26-Jul-16,46.87,48.00,46.87,47.73,4226117
25-Jul-16,47.52,47.78,46.73,46.89,3752833
22-Jul-16,47.25,47.69,46.56,47.57,4903777
21-Jul-16,47.11,47.40,46.02,46.66,5879776
20-Jul-16,48.28,49.87,47.54,48.30,8422197
19-Jul-16,47.30,47.96,46.68,47.85,4720493
18-Jul-16,47.58,48.02,47.13,47.71,3692696
15-Jul-16,47.51,47.76,46.92,47.43,5184843
14-Jul-16,46.73,47.94,46.42,47.85,7702514
13-Jul-16,46.55,46.73,45.42,45.86,5491893
12-Jul-16,44.19,46.36,44.19,46.16,9780954
11-Jul-16,41.88,42.74,41.72,42.41,4661729
8-Jul-16,40.70,41.73,40.70,41.48,5261202
7-Jul-16,39.32,40.41,39.31,40.09,4606347
6-Jul-16,39.14,39.41,37.64,39.31,8217758
5-Jul-16,40.80,40.92,39.41,40.29,5207822
1-Jul-16,41.02,41.80,40.83,41.37,5092904
30-Jun-16,40.72,41.04,40.20,41.04,6052579
29-Jun-16,39.19,40.92,39.15,40.57,7373103
28-Jun-16,38.82,39.06,38.01,38.95,7820471
27-Jun-16,40.64,40.69,37.41,37.75,12913159
24-Jun-16,42.67,43.22,41.04,41.06,12313823
23-Jun-16,45.75,45.92,44.46,45.17,4914054
22-Jun-16,45.00,45.64,44.94,45.09,4815290
21-Jun-16,45.01,45.59,44.40,44.86,7749375
20-Jun-16,43.07,44.03,43.00,43.40,4427783
17-Jun-16,41.90,43.07,41.50,42.62,8183106
16-Jun-16,42.23,42.90,41.68,41.83,7695590
15-Jun-16,42.55,43.72,42.51,42.89,6334525
14-Jun-16,43.98,44.30,41.46,42.09,8162821
